geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ncoa2	3871.103881	0.056013632	0.09651996	0.58033211	0.561690677	0.999929011
Tram1	5491.422798	-0.054503417	0.082135566	-0.663578766	0.506959951	0.999929011
Lactb2	1312.795264	0.070421148	0.135931528	0.518063388	0.604414044	0.999929011
Xkr9	0	NA	NA	NA	NA	NA
Gm5523	1.111797297	1.160415962	2.17439614	0.533672747	0.593567967	0.999929011
Eya1	27.58898445	0.710164496	1.146789904	0.619262947	0.53574315	0.999929011
Msc	83.76045106	-0.898437213	0.420887842	-2.134623819	0.03279175	0.898907092
Trpa1	1.529358191	-0.134734408	2.076270967	-0.064892497	0.948259594	0.999929011
Kcnb2	1.96926428	-1.731455592	2.665413035	-0.649601232	0.515949837	0.999929011
Terf1	495.5007856	0.077263349	0.235497014	0.328086321	0.742846396	0.999929011
Sbspon	7658.42515	0.20166149	0.111083978	1.815396719	0.069462965	0.982876461
4930444P10Rik	2.697935948	-3.231545768	3.906726451	-0.827174825	NA	NA
Rpl7	19516.71811	-0.080005101	0.067977314	-1.17693825	0.239220154	0.999929011
Rdh10	985.9405231	-0.008334924	0.21413111	-0.038924396	0.968950666	0.999929011
Stau2	473.1568092	-0.14608935	0.241241384	-0.605573337	0.544798112	0.999929011
Ube2w	1552.464901	0.030809206	0.120492269	0.255694466	0.798186769	0.999929011
Tceb1	1917.403199	0.038216414	0.124687059	0.306498638	0.759225017	0.999929011
D030040B21Rik	4.327821211	6.476104135	3.655948145	1.7713884	NA	NA
Tmem70	941.7750837	-0.025238031	0.173516547	-0.145450284	0.884355366	0.999929011
Ly96	101.9873162	0.461684574	0.537647315	0.858712694	0.390499046	0.999929011
Jph1	232.1623178	-0.158906563	0.430881812	-0.368793852	0.712281387	0.999929011
Gdap1	13.29899048	0.726613131	1.048137077	0.693242465	0.488157403	0.999929011
Pi15	235.2595265	-0.00697715	0.587489184	-0.011876219	0.990524371	0.999929011
Crispld1	366.2161119	0.365654339	0.322366494	1.134281467	0.256676501	0.999929011
Crisp4	0	NA	NA	NA	NA	NA
Defb44-ps	0	NA	NA	NA	NA	NA
Defb18	0	NA	NA	NA	NA	NA
Defb41	0	NA	NA	NA	NA	NA
Gm15386	0	NA	NA	NA	NA	NA
Tfap2d	0	NA	NA	NA	NA	NA
Tfap2b	4.976583927	2.372501527	2.400409162	0.988373801	0.322969614	0.999929011
Pkhd1	0.66989062	0.005564042	4.080438887	0.001363589	0.998912014	0.999929011
4930486I03Rik	0	NA	NA	NA	NA	NA
Mir206	0	NA	NA	NA	NA	NA
Mir133b	0	NA	NA	NA	NA	NA
Il17a	0	NA	NA	NA	NA	NA
Il17f	3.855646156	1.3143599	3.856972533	0.340775022	NA	NA
Mcm3	459.7239479	0.111603618	0.245503968	0.454589874	0.649404321	0.999929011
6720483E21Rik	22.08198309	0.206310599	0.990976155	0.208189266	0.835081189	0.999929011
Paqr8	3242.876661	-0.055824695	0.125919917	-0.443334909	0.65752351	0.999929011
Efhc1	118.7221448	-0.501152274	0.510546491	-0.981599683	0.326297104	0.999929011
Tram2	294.1563591	-0.372808369	0.319154256	-1.168113419	0.242761018	0.999929011
Tmem14a	882.4383429	0.322912466	0.176012601	1.834598572	0.06656519	0.982235726
Gsta3	492.9542927	-0.784810979	0.325551516	-2.410712096	0.015921411	0.784075926
Gm4956	1.398570345	0.005584738	4.080438887	0.001368661	0.998907967	0.999929011
Khdc1a	0	NA	NA	NA	NA	NA
Khdc1c	0	NA	NA	NA	NA	NA
Khdc1b	0.136349407	-1.644554505	4.066430744	-0.404422111	0.685902344	NA
Kcnq5	102.4591265	-0.030404204	0.497264403	-0.061142934	0.951245377	0.999929011
Rims1	315.9775793	-0.127692478	0.268766802	-0.475105098	0.634712065	0.999929011
4933415F23Rik	0.06051877	0.005522719	4.080438887	0.001353462	0.998920094	NA
Mir30a	0	NA	NA	NA	NA	NA
Mir30c-2	0	NA	NA	NA	NA	NA
Ogfrl1	1080.407723	-0.148137744	0.153482926	-0.965174089	0.334457623	0.999929011
B3gat2	30.75326029	-1.298192142	1.18524888	-1.095290757	0.273389276	0.999929011
Smap1	1294.350295	0.289726828	0.157609814	1.838253726	0.066025026	0.982235726
1110058L19Rik	325.5616553	0.012422709	0.277113615	0.044828937	0.96424366	0.999929011
Fam135a	902.4138875	0.080776246	0.127986103	0.631132947	0.5279536	0.999929011
Col9a1	15.38968947	0.3550603	1.463449532	0.242618753	0.808300753	0.999929011
Col19a1	14.71710448	-0.358778805	1.519449502	-0.236124205	0.813336292	0.999929011
Lmbrd1	8470.538026	0.033318131	0.093905558	0.354804678	0.722735923	0.999929011
Bai3	57.55424548	-1.137198107	0.689359765	-1.649643865	0.099015798	0.999929011
Gm20172	0	NA	NA	NA	NA	NA
4931408C20Rik	0	NA	NA	NA	NA	NA
Gm597	0	NA	NA	NA	NA	NA
Mir6342	0	NA	NA	NA	NA	NA
Phf3	3060.765424	0.008926388	0.11000539	0.081145007	0.935326633	0.999929011
Ptp4a1	555.4767645	-0.030087803	0.193408161	-0.155566358	0.876374845	0.999929011
Gm13363	0	NA	NA	NA	NA	NA
4931428L18Rik	0	NA	NA	NA	NA	NA
Lgsn	0	NA	NA	NA	NA	NA
Pih1d3	0	NA	NA	NA	NA	NA
Gm4850	0.590171997	3.693561977	4.013040677	0.920389867	0.357369062	0.999929011
Khdrbs2	0.561209928	2.050100579	4.035820579	0.507976145	0.611470073	0.999929011
Gm9839	0.801425828	-4.12233316	4.008277155	-1.02845512	0.303735792	0.999929011
Gm5415	0	NA	NA	NA	NA	NA
Prim2	260.305002	-0.262105736	0.335063401	-0.782257134	0.434063473	0.999929011
1700001G17Rik	10.70471567	-0.301650873	1.584051745	-0.190429936	0.848972241	0.999929011
Rab23	1139.610262	-0.029612892	0.149383057	-0.19823461	0.84286151	0.999929011
Bag2	173.8126561	-0.203845531	0.341545599	-0.596832552	0.550619182	0.999929011
Zfp451	1062.33788	0.004142601	0.156261199	0.026510747	0.978849962	0.999929011
Gm15455	1.776564125	0.222713747	1.850372794	0.120361555	0.904196744	0.999929011
Bend6	95.71816775	0.017081386	0.391095044	0.043675793	0.965162835	0.999929011
Dst	28583.76013	0.134989527	0.073396801	1.839174527	0.06588952	0.982235726
Mir6896	0	NA	NA	NA	NA	NA
Mir5103	3.004990678	5.667908256	3.999253617	1.417241516	0.156412328	0.999929011
Ccdc115	719.2682874	0.306721471	0.147032371	2.086081242	0.036971265	0.906728292
Imp4	1081.509384	-0.012501065	0.149443572	-0.08365074	0.933334123	0.999929011
Ptpn18	212.4551529	-0.383285207	0.342319575	-1.119670725	0.262854105	0.999929011
Prss39	2.611444173	5.547823561	3.99966294	1.387072772	NA	NA
Cfc1	0	NA	NA	NA	NA	NA
Prss40	0	NA	NA	NA	NA	NA
Amer3	0.619880947	-1.027858898	2.334855495	-0.440223774	0.659775043	0.999929011
AA619741	0.445236571	-3.273507284	4.019245634	-0.81445813	0.415382549	0.999929011
Arhgef4	81.10743577	0.456444613	0.705612701	0.646876979	0.517711566	0.999929011
Fam168b	7294.759354	0.016823007	0.077505488	0.217055693	0.828164943	0.999929011
Plekhb2	3465.0241	-0.119042447	0.129256137	-0.920981008	0.357060343	0.999929011
Mir7669	0	NA	NA	NA	NA	NA
Hs6st1	1960.71491	-0.125416336	0.154304458	-0.812784912	0.416341387	0.999929011
Uggt1	2394.946635	-0.174784437	0.131113734	-1.333074968	0.182507203	0.999929011
Mir6897	0.322468304	-2.817605576	4.02837949	-0.699438964	0.484277745	NA
Neurl3	340.1751661	-0.195822588	0.313429995	-0.624772968	0.532120075	0.999929011
Arid5a	930.0780565	0.071939647	0.176651021	0.407241613	0.683830541	0.999929011
Kansl3	4678.517396	0.041368691	0.089717507	0.461099428	0.644727272	0.999929011
Mir6898	0	NA	NA	NA	NA	NA
Fer1l5	324.6319093	0.154772107	0.325322045	0.475750443	0.63425218	0.999929011
Lman2l	1533.442541	-0.036439647	0.101012852	-0.36074268	0.718291816	0.999929011
Cnnm4	557.040215	0.094421355	0.214572476	0.440044116	0.659905156	0.999929011
Cnnm3	3025.827671	0.045125573	0.087046424	0.518408112	0.604173556	0.999929011
Ankrd23	526.7983352	-0.96071859	0.650260327	-1.477436883	0.139558566	0.999929011
Ankrd39	643.1848457	0.154632863	0.171546186	0.901406593	0.367372177	0.999929011
Sema4c	8182.885753	0.265149426	0.231567026	1.145022372	0.25219989	0.999929011
Fam178b	14543.5817	0.17035742	0.158885379	1.072203251	0.28362875	0.999929011
Cox5b	3784.459641	-0.102586301	0.108483573	-0.94563904	0.344332725	0.999929011
Actr1b	3258.73254	0.03612933	0.101962431	0.354339625	0.723084375	0.999929011
4933424G06Rik	0.415298331	0.005543427	4.080438887	0.001358537	0.998916045	0.999929011
Zap70	14.14061369	-0.39384734	1.200108508	-0.328176442	0.742778259	0.999929011
Tmem131	2961.233615	-0.107635854	0.108631178	-0.990837584	0.321764894	0.999929011
Cnga3	0.90620018	2.292637737	4.029465029	0.568968268	0.569377675	0.999929011
Inpp4a	3836.840763	0.048022955	0.102652259	0.467821701	0.6399121	0.999929011
Coa5	4838.443116	-0.066279001	0.086841464	-0.763218377	0.445333171	0.999929011
Unc50	2096.837357	0.027388958	0.121007139	0.226341671	0.82093569	0.999929011
Mgat4a	489.6545453	0.140486454	0.255864208	0.549066454	0.582959845	0.999929011
4930594C11Rik	1.888611319	-3.900254064	3.395330375	-1.14871121	0.250675082	0.999929011
2010300C02Rik	17.41664992	-1.469020202	1.139870421	-1.2887607	0.197481293	0.999929011
Tsga10	413.8207826	-0.09137153	0.224735374	-0.406573868	0.684320993	0.999929011
Lipt1	139.364885	-0.082764291	0.26873566	-0.307976588	0.758100147	0.999929011
Mitd1	289.8680152	0.708386453	0.286451656	2.472970356	0.013399526	0.767361879
Mrpl30	1297.5012	-0.308518528	0.155904786	-1.978890683	0.047828316	0.921825264
Lyg2	0.828642969	3.506856917	4.015589477	0.873310615	0.382493796	0.999929011
Lyg1	0.128936614	0.967279377	4.080438887	0.237052779	0.812615845	NA
Txndc9	2143.684492	0.218432666	0.12535816	1.742468669	0.081426469	0.996191478
Eif5b	3576.542508	-0.090149717	0.107672617	-0.837257605	0.402447784	0.999929011
Rev1	887.623381	0.19617097	0.150013142	1.3076919	0.190977832	0.999929011
Aff3	2322.903006	-0.395249228	0.2480929	-1.593150103	0.111126522	0.999929011
Lonrf2	613.926467	0.147609398	0.158819348	0.929416972	0.352673035	0.999929011
Chst10	72.90452052	-0.072384327	0.535594829	-0.135147547	0.892495218	0.999929011
Nms	0.404626407	1.451496267	4.056856575	0.357788411	0.720501664	0.999929011
Pdcl3	2012.421592	-0.207784314	0.10998165	-1.88926347	0.058856534	0.96445668
Mir6349	0	NA	NA	NA	NA	NA
Npas2	69.50366297	-0.203608964	0.749963376	-0.271491877	0.786012747	0.999929011
Rpl31	12674.6663	-0.008287558	0.087406203	-0.09481659	0.924460509	0.999929011
Tbc1d8	766.8974878	-0.061979588	0.274577145	-0.225727411	0.821413437	0.999929011
Cnot11	881.8805929	-0.14843216	0.165640324	-0.896111267	0.37019334	0.999929011
Snord89	15.44052381	1.710671183	1.614311618	1.059690808	0.289285286	0.999929011
Rnf149	1592.947971	-0.06046287	0.112008259	-0.539807247	0.589329968	0.999929011
Creg2	24.30926649	0.986042383	1.080173327	0.912855705	0.361318437	0.999929011
Rfx8	4.685456366	1.41252206	2.587473439	0.545907849	0.585129283	0.999929011
Gm3646	1.917869126	4.470711928	4.005345598	1.116186311	0.264342393	0.999929011
1700066B17Rik	0	NA	NA	NA	NA	NA
Map4k4	16627.07554	-0.034732581	0.086621028	-0.400971697	0.688440962	0.999929011
Gm16894	5.598616938	4.758947506	2.566250828	1.854435839	0.063676831	0.978754487
Il1r2	37.62542673	-2.589099705	1.04248933	-2.483574296	0.01300712	0.767361879
Il1r1	1548.13028	-0.179203186	0.167950793	-1.06699815	0.285972671	0.999929011
Il1rl2	276.5683627	-0.576834485	0.378569833	-1.523720154	0.127578633	0.999929011
Il1rl1	324.6889145	-0.182192549	0.370046326	-0.49235065	0.62247148	0.999929011
Il18r1	28.93498261	-1.040064122	1.329212199	-0.782466579	0.433940419	0.999929011
Il18rap	37.06244897	-0.601327442	0.873851402	-0.688134665	0.491367983	0.999929011
Slc9a4	16.74218122	0.913719428	1.367595931	0.668120902	0.50405642	0.999929011
Slc9a2	45.41434408	-0.212740019	0.905813843	-0.23486064	0.8143169	0.999929011
Mfsd9	187.3196128	-0.412986086	0.35904603	-1.150231589	0.250048499	0.999929011
Tmem182	211.7356596	0.537601618	0.374712974	1.434702439	0.151371909	0.999929011
4930448I06Rik	0	NA	NA	NA	NA	NA
Pou3f3os	2.683522333	2.432700471	3.345486972	0.727158854	0.467128649	0.999929011
Pou3f3	4.024418711	-4.210806075	2.715036309	-1.550920723	0.120920684	0.999929011
2900092D14Rik	0	NA	NA	NA	NA	NA
2610207O16Rik	0	NA	NA	NA	NA	NA
Mrps9	826.9352841	-0.016352681	0.15531936	-0.105284242	0.916150267	0.999929011
Gpr45	1.31359866	0.477856411	3.777930513	0.126486289	0.899347002	0.999929011
Tgfbrap1	2687.626963	0.044121614	0.104359256	0.422785823	0.672451532	0.999929011
AI597479	1592.789626	-0.039020608	0.111163254	-0.351020738	0.72557279	0.999929011
Fhl2	1222.109097	-0.174504473	0.359230054	-0.48577359	0.627127701	0.999929011
Nck2	1251.959055	-0.020306186	0.124447533	-0.163170655	0.87038407	0.999929011
1500015O10Rik	246.7866317	-0.728108199	0.721781321	-1.008765644	0.313087042	0.999929011
Uxs1	884.3249143	-0.195933562	0.132956857	-1.473662709	0.140572428	0.999929011
Tpp2	1315.365857	0.026705029	0.13791109	0.193639464	0.846458195	0.999929011
Mettl21c	3.116856959	-2.747516694	2.629981736	-1.044690408	0.296166079	0.999929011
Tex30	118.0797696	0.476034054	0.424132063	1.12237224	0.261704203	0.999929011
Kdelc1	728.1266589	0.202592044	0.178018084	1.138041932	0.255102974	0.999929011
Bivm	547.5688617	0.008427378	0.21145858	0.039853562	0.968209874	0.999929011
Ercc5	1242.964349	0.216550521	0.105518847	2.05224495	0.040145863	0.916003861
Mettl21e	0	NA	NA	NA	NA	NA
Gulp1	6331.757567	0.126590652	0.10859146	1.165751449	0.243714952	0.999929011
4930521E06Rik	6.092347191	-0.319039888	2.034971244	-0.156778573	0.87541936	0.999929011
Col3a1	59563.24287	-0.418251172	0.235141655	-1.778720026	0.075285674	0.987212003
Col5a2	9528.652072	-0.013637423	0.104589115	-0.130390458	0.896257516	0.999929011
Wdr75	624.7429442	-0.149987259	0.17752925	-0.844859418	0.398189335	0.999929011
Slc40a1	237.8711432	0.658161803	0.50899802	1.29305376	0.195992466	0.999929011
Gm4776	0	NA	NA	NA	NA	NA
Dnah7b	159.9185307	-0.065662271	0.416354231	-0.157707707	0.874687127	0.999929011
Slc39a10	3014.917073	0.271821765	0.127891603	2.125407443	0.03355263	0.898907092
Mir6350	0	NA	NA	NA	NA	NA
Tmeff2	900.320406	-0.372263422	0.420448594	-0.885395805	0.375943194	0.999929011
9330175M20Rik	0.035829812	-0.475371625	4.080438887	-0.116500121	0.90725619	NA
Sdpr	8233.762286	-0.055774333	0.256663316	-0.217305433	0.827970324	0.999929011
Nabp1	428.4498523	0.152944118	0.300769163	0.508509969	0.611095749	0.999929011
Myo1b	7639.607099	0.100230284	0.111128155	0.901934205	0.36709182	0.999929011
Stat4	75.77933843	0.460592342	0.548049281	0.840421397	0.400672156	0.999929011
Stat1	3874.054689	0.405616893	0.317274317	1.278442251	0.201093534	0.999929011
Gls	4483.435356	0.335028319	0.140129103	2.390854662	0.016809205	0.785044123
Nab1	4841.008326	-0.033221382	0.102123479	-0.325306012	0.744949481	0.999929011
Tmem194b	380.8368846	0.027461022	0.253824339	0.108189082	0.913845706	0.999929011
Mfsd6	2456.598827	0.030015335	0.110058705	0.272721134	0.785067588	0.999929011
Inpp1	1032.25638	0.101129335	0.166961398	0.60570489	0.544710736	0.999929011
Hibch	1180.559933	-0.441680284	0.234146771	-1.886339418	0.059249231	0.966197464
1700019D03Rik	33.03043041	-1.751596037	1.106004152	-1.583715608	0.113258451	0.999929011
Mstn	7.216367643	-5.113203225	2.621207825	-1.950705005	0.051092148	0.939047056
1700019A02Rik	1.918128385	5.388399877	4.000261671	1.347011851	0.177976416	0.999929011
Pms1	204.5135759	0.118105365	0.339561647	0.347817151	0.727977508	0.999929011
Ormdl1	407.7808707	-0.179246044	0.226928331	-0.789879532	0.429598126	0.999929011
Osgepl1	342.3274566	0.182814063	0.280326825	0.652146159	0.514306889	0.999929011
Asnsd1	1222.870658	0.028091088	0.12696091	0.221257773	0.824891728	0.999929011
Dnah7a	10.18407171	-5.086545851	1.797143147	-2.830350971	0.004649697	0.529169966
Stk17b	641.4871907	-0.330629577	0.240378508	-1.375453986	0.168990742	0.999929011
Hecw2	1852.053033	-0.015310827	0.118042834	-0.129705691	0.89679928	0.999929011
Mir7681	0.103313781	0.005529098	4.080438887	0.001355025	0.998918846	NA
Ccdc150	8.251329334	-0.554304266	2.167800714	-0.255698904	0.798183342	0.999929011
Gtf3c3	620.7118265	-0.108093616	0.167820192	-0.644103756	0.519508155	0.999929011
Pgap1	533.4762381	0.057172028	0.204324023	0.279810601	0.779622818	0.999929011
Ankrd44	1665.160107	0.106738599	0.145273189	0.734743966	0.462495439	0.999929011
Sf3b1	7695.540797	0.10714939	0.085933998	1.246880069	0.212441476	0.999929011
Coq10b	745.4993184	-0.070599498	0.2018558	-0.349752139	0.726524721	0.999929011
Hspd1	4668.755545	-0.131620826	0.091868022	-1.432716444	0.151938888	0.999929011
Hspe1	1663.421892	-0.22797898	0.128387284	-1.775713084	0.07578022	0.99029301
Mob4	1557.467654	0.012073384	0.145096895	0.083209112	0.933685268	0.999929011
Rftn2	1890.254671	0.084525404	0.121911716	0.693332907	0.488100657	0.999929011
Mars2	228.5313618	0.192760938	0.25896084	0.744363271	0.456656733	0.999929011
Boll	0	NA	NA	NA	NA	NA
Plcl1	647.2658367	0.057479873	0.209085268	0.274911156	0.783384496	0.999929011
9130227L01Rik	0	NA	NA	NA	NA	NA
Hsfy2	0	NA	NA	NA	NA	NA
Satb2	145.1165479	-0.146737855	0.371848243	-0.394617584	0.693125134	0.999929011
9130024F11Rik	28.30150635	-0.384255519	0.797960189	-0.481547231	0.63012762	0.999929011
BC055402	0.463490514	0.00554871	4.080438887	0.001359832	0.998915012	0.999929011
4930558J18Rik	1.60305618	-4.3252896	4.003093703	-1.080486724	NA	NA
1700066M21Rik	280.2818861	-0.321605263	0.276343109	-1.163789694	0.24450925	0.999929011
Tyw5	246.4759008	0.275665214	0.385267313	0.715516745	0.474289797	0.999929011
9430016H08Rik	550.3907943	0.204875281	0.178446557	1.148104417	0.250925461	0.999929011
Spats2l	1124.111682	-0.227538372	0.289402026	-0.786236282	0.431729074	0.999929011
Kctd18	740.7351512	-0.010195378	0.159751574	-0.063820207	0.949113389	0.999929011
Sgol2	78.61446663	-1.308561915	0.601913383	-2.17400369	0.029704858	0.894780225
Aox1	1133.335677	0.068494801	0.244712883	0.279898632	0.779555277	0.999929011
Aox3	253.4813523	-1.236149678	0.44300208	-2.790392495	0.005264418	0.535965072
Aox4	1.245150524	3.668380136	4.00803837	0.915255743	0.360057387	0.999929011
Aox2	8.853674006	-0.759677009	1.690940988	-0.449262875	0.653242036	0.999929011
Bzw1	6425.399282	-0.059199519	0.075601845	-0.783043312	0.433601679	0.999929011
Clk1	5517.756077	0.203416808	0.162446483	1.252208142	0.21049403	0.999929011
Ppil3	453.1647358	0.056288961	0.219847857	0.256035978	0.797923057	0.999929011
Nif3l1	515.8456317	-0.031772033	0.145748582	-0.217992053	0.827435304	0.999929011
Orc2	969.997709	-0.186329161	0.11813039	-1.577317754	0.114722429	0.999929011
Fam126b	1245.917736	-0.307590268	0.165667508	-1.856672265	0.063357796	0.978270182
Ndufb3	1560.073155	0.052870489	0.132001582	0.400529208	0.688766775	0.999929011
Gm20257	76.60144935	-0.55793803	0.678794271	-0.821954536	0.411102773	0.999929011
Als2cr12	72.3576865	0.099194797	0.819081814	0.121104871	0.903607971	0.999929011
Cflar	4145.545622	0.024804428	0.105201764	0.235779581	0.813603714	0.999929011
Casp8	620.8161539	-0.224956059	0.286879797	-0.784147443	0.4329536	0.999929011
Trak2	10710.4516	0.102203716	0.0994578	1.027608858	0.304133856	0.999929011
Stradb	662.9781741	0.150483848	0.169383259	0.888422202	0.374313687	0.999929011
Als2cr11	0.987019502	-4.416254297	4.005747457	-1.102479461	0.270253283	0.999929011
Tmem237	1075.282921	0.137248035	0.142545721	0.962835183	0.335630241	0.999929011
Mpp4	44.60501775	0.868743078	0.544207119	1.596346405	0.110411475	0.999929011
Als2	4072.749629	0.040291761	0.11284344	0.357058957	0.721047669	0.999929011
Cdk15	177.0799062	-0.856645582	0.425744918	-2.012109943	0.044208349	0.921825264
Fzd7	2972.08763	-0.178220149	0.227673327	-0.782788881	0.433751098	0.999929011
Gm973	68.9376193	-1.123384006	0.758945044	-1.480191504	0.138822147	0.999929011
Sumo1	1758.884211	-0.049799584	0.109353532	-0.455399865	0.648821592	0.999929011
Nop58	786.4661711	-0.195995753	0.189875948	-1.032230544	0.30196413	0.999929011
Snord70	0.258412718	1.639249664	4.049312856	0.404821687	0.685608586	NA
Snord11	0.354905901	0.005545557	4.080438887	0.001359059	0.998915628	0.999929011
Bmpr2	6806.470216	-0.059201197	0.080746096	-0.733177211	0.463450353	0.999929011
Fam117b	2354.314641	0.05948812	0.119939146	0.495985855	0.619904391	0.999929011
Ica1l	22.36968613	-0.200366451	1.180338808	-0.169753337	0.865204126	0.999929011
Wdr12	438.3616972	0.24441292	0.132577677	1.843545047	0.065249471	0.981685244
Carf	412.9898761	0.264342176	0.335626114	0.787609084	0.4309254	0.999929011
Nbeal1	2027.105234	-0.058169522	0.169063223	-0.344069638	0.730793916	0.999929011
Cyp20a1	1590.283314	0.031562722	0.112212719	0.281275799	0.778498871	0.999929011
Abi2	2309.20969	0.098135504	0.116464985	0.842618093	0.399442069	0.999929011
Raph1	704.0844166	0.137983977	0.18447246	0.747992287	0.45446481	0.999929011
Cd28	25.99739498	-0.741005075	1.308688812	-0.566219462	0.571244602	0.999929011
Ctla4	3.34953874	0.005590621	4.080438887	0.001370103	NA	NA
Icos	11.07220755	0.150768472	1.522296587	0.099040143	0.921106397	0.999929011
9530026F06Rik	0.259561457	0.005537768	4.080438887	0.00135715	0.998917151	NA
Pard3b	1379.4875	0.12662498	0.14447724	0.876435485	0.380793335	0.999929011
Nrp2	5968.715902	0.057748129	0.078924192	0.731691106	0.464357126	0.999929011
4930487H11Rik	37.73879011	0.732373633	1.018377979	0.719156981	0.472044202	0.999929011
Ino80d	2900.240917	0.064123445	0.110571445	0.579927717	0.561963364	0.999929011
Ino80dos	161.1288721	-0.008910517	0.414474566	-0.021498344	0.982848124	0.999929011
Ndufs1	2696.072705	-0.068679486	0.092800962	-0.740073002	0.459255699	0.999929011
Eef1b2	7316.681359	-0.011987254	0.08428547	-0.142222073	0.886904598	0.999929011
Snora41	2.764915139	-3.720352084	3.908048832	-0.95197175	0.341111309	0.999929011
Gpr1	54.8544814	-1.903933062	0.932212547	-2.042380859	0.041113767	0.916003861
Zdbf2	36.58848049	-0.997563158	0.816362502	-1.221961023	0.221722367	0.999929011
Adam23	1771.57142	0.382223256	0.161639269	2.364668305	0.018046226	0.795157573
Dytn	0.037802052	-0.475371625	4.080438887	-0.116500121	0.90725619	NA
Mdh1b	1.533704993	-5.060743708	4.00170956	-1.26464543	0.20599846	0.999929011
Fastkd2	481.3816693	-0.070704988	0.227401575	-0.310925673	0.755857127	0.999929011
4933402D24Rik	14.83862528	-1.057583292	1.063141684	-0.99477173	0.319847299	0.999929011
Gm13749	163.6195616	-0.810007524	0.380005675	-2.131566914	0.033042466	0.898907092
Mir1958	0.937471787	3.85585051	4.011076599	0.961300642	0.336401025	0.999929011
Klf7	593.8594243	2.30E-05	0.186889444	0.00012321	0.999901693	0.999952444
Mir6899	0	NA	NA	NA	NA	NA
Creb1	2341.370919	-0.032909371	0.107418382	-0.30636629	0.759325772	0.999929011
Mettl21a	555.8725739	-0.326371894	0.164856686	-1.979731007	0.047733763	0.921825264
2810408I11Rik	1.440201234	-4.344845525	4.006315485	-1.084499097	NA	NA
Ccnyl1	893.4424752	0.031151156	0.111263673	0.279975979	0.779495934	0.999929011
